Set-AzureADDomain,Update-MgDomain
Set-AzureADGroup,Update-MgGroup
Set-AzureADMSAdministrativeUnit,Update-MgDirectoryAdministrativeUnit
Set-AzureADMSApplication,Update-MgApplication
Set-AzureADMSApplicationLogo,Set-MgApplicationLogo
Set-AzureADMSApplicationVerifiedPublisher,MISSING
Set-AzureADMSConditionalAccessPolicy,Update-MgIdentityConditionalAccessPolicy
Set-AzureADMSGroup,Update-MgGroup
Set-AzureADMSGroupLifecyclePolicy,Update-MgGroupLifecyclePolicy
Set-AzureADMSIdentityProvider,Update-MgIdentityProvider
Set-AzureADMSNamedLocationPolicy,Update-MgIdentityConditionalAccessNamedLocation
Set-AzureADMSPermissionGrantConditionSet,Update-MgPolicyPermissionGrantPolicyInclude and Update-MgPolicyPermissionGrantPolicyExclude
Set-AzureADMSPermissionGrantPolicy,Update-MgPolicyPermissionGrantPolicy
Set-AzureADServicePrincipal,Update-MgServicePrincipal
Set-AzureADTenantDetail,Update-MgOrganization
Set-AzureADTrustedCertificateAuthority,MISSING
Set-AzureADUser,Update-MgUser
Set-AzureADUserExtension,Update-MgUserExtension
Set-AzureADUserLicense,Set-MgUserLicense
Set-AzureADUserManager,Set-MgUserManagerByRef
Set-AzureADUserPassword,Reset-MgUserPassword
Set-AzureADUserThumbnailPhoto,Set-MgUserPhotoContent
Update-AzureADSignedInUserPassword,Update-MgUserPassword
